,구,동,주야간,노면상태,기상상태,동_risk,주야간_risk,노면상태_risk,기상상태_risk,total_risk,corr_risk,동_eclo,주야간_eclo,노면상태_eclo,기상상태_eclo,eclo_risk_sum,eclo_risk_mul
0,장안구,정자동,주간,건조,맑음,54.0,2.0,5.0,5.0,66.0,120.49662495153244,4.458715596330276,4.476795931341386,4.444769140853302,4.460807600950119,83.84108826947508,294.2521177735348
1,권선구,권선동,주간,건조,맑음,53.0,2.0,5.0,5.0,65.0,118.5051196201134,4.657407407407407,4.476795931341386,4.444769140853302,4.460807600950119,83.0397800805522,300.3240681642925
2,장안구,정자동,주간,젖음/습기,맑음,54.0,2.0,4.0,5.0,65.0,119.40740037626423,4.458715596330276,4.476795931341386,4.841059602649007,4.460807600950119,83.2373787312708,291.3925104798643
3,장안구,정자동,주간,건조,비,54.0,2.0,5.0,4.0,65.0,119.40740037626423,4.458715596330276,4.476795931341386,4.444769140853302,4.798319327731092,83.17859999625605,291.14135707970854
4,장안구,정자동,야간,건조,맑음,54.0,1.0,5.0,5.0,65.0,119.46507930042216,4.458715596330276,4.488599348534202,4.444769140853302,4.460807600950119,82.8528916866679,289.78712525938613
5,장안구,정자동,야간,젖음/습기,맑음,54.0,1.0,4.0,5.0,64.0,118.37585472515394,4.458715596330276,4.488599348534202,4.841059602649007,4.460807600950119,82.24918214846362,286.92751796571565
6,권선구,권선동,야간,건조,맑음,53.0,1.0,5.0,5.0,64.0,117.47357396900308,4.657407407407407,4.488599348534202,4.444769140853302,4.460807600950119,82.05158349774503,295.85907565014384
7,장안구,정자동,주간,건조,흐림,54.0,2.0,5.0,3.0,64.0,118.31817580099606,4.458715596330276,4.476795931341386,4.444769140853302,4.421875,81.80215566852496,285.21370476878417
8,장안구,정자동,주간,젖음/습기,비,54.0,2.0,4.0,4.0,64.0,118.31817580099604,4.458715596330276,4.476795931341386,4.841059602649007,4.798319327731092,82.57489045805177,288.28174978603806
9,권선구,권선동,주간,젖음/습기,맑음,53.0,2.0,4.0,5.0,64.0,117.4158950448452,4.657407407407407,4.476795931341386,4.841059602649007,4.460807600950119,82.43607054234792,297.464460870622
10,권선구,권선동,주간,건조,비,53.0,2.0,5.0,4.0,64.0,117.4158950448452,4.657407407407407,4.476795931341386,4.444769140853302,4.798319327731092,82.37729180733318,297.21330747046625
11,장안구,정자동,야간,건조,비,54.0,1.0,5.0,4.0,64.0,118.37585472515394,4.458715596330276,4.488599348534202,4.444769140853302,4.798319327731092,82.19040341344888,286.67636456555994
12,팔달구,인계동,주간,건조,맑음,52.0,2.0,5.0,5.0,64.0,116.51361428869431,4.650943396226415,4.476795931341386,4.444769140853302,4.460807600950119,82.03331606937121,295.3305321754734
13,장안구,정자동,주간,서리/결빙,맑음,54.0,2.0,3.0,5.0,64.0,118.31817580099604,4.458715596330276,4.476795931341386,4.875,4.460807600950119,82.27131912862178,286.65327206926827
14,팔달구,인계동,주간,젖음/습기,맑음,52.0,2.0,4.0,5.0,63.0,115.42438971342612,4.650943396226415,4.476795931341386,4.841059602649007,4.460807600950119,81.42960653116693,292.47092488180294
15,팔달구,인계동,야간,건조,맑음,52.0,1.0,5.0,5.0,63.0,115.482068637584,4.650943396226415,4.488599348534202,4.444769140853302,4.460807600950119,81.04511948656403,290.8655396613249
16,권선구,권선동,주간,건조,흐림,53.0,2.0,5.0,3.0,63.0,116.326670469577,4.657407407407407,4.476795931341386,4.444769140853302,4.421875,81.00084747960209,291.2856551595419
17,장안구,정자동,주간,서리/결빙,비,54.0,2.0,3.0,4.0,63.0,117.22895122572784,4.458715596330276,4.476795931341386,4.875,4.798319327731092,81.60883085540276,283.542511375442
18,권선구,권선동,주간,젖음/습기,비,53.0,2.0,4.0,4.0,63.0,116.32667046957698,4.657407407407407,4.476795931341386,4.841059602649007,4.798319327731092,81.7735822691289,294.35370017679577
19,장안구,영화동,주간,건조,맑음,51.0,2.0,5.0,5.0,63.0,114.52210895727524,4.2254901960784315,4.476795931341386,4.444769140853302,4.460807600950119,80.60786286922323,268.9814755716999
20,장안구,정자동,야간,젖음/습기,비,54.0,1.0,4.0,4.0,63.0,117.28663014988574,4.458715596330276,4.488599348534202,4.841059602649007,4.798319327731092,81.58669387524459,283.81675727188946
21,장안구,정자동,야간,건조,흐림,54.0,1.0,5.0,3.0,63.0,117.28663014988577,4.458715596330276,4.488599348534202,4.444769140853302,4.421875,80.81395908571778,280.74871225463556
22,장안구,정자동,야간,서리/결빙,맑음,54.0,1.0,3.0,5.0,63.0,117.28663014988574,4.458715596330276,4.488599348534202,4.875,4.460807600950119,81.2831225458146,282.1882795551197
23,팔달구,인계동,주간,건조,비,52.0,2.0,5.0,4.0,63.0,115.42438971342612,4.650943396226415,4.476795931341386,4.444769140853302,4.798319327731092,81.37082779615218,292.21977148164723
24,장안구,정자동,주간,건조,눈,54.0,2.0,5.0,2.0,63.0,117.22895122572784,4.458715596330276,4.476795931341386,4.444769140853302,3.5714285714285716,79.95170923995353,279.09093691164134
25,권선구,권선동,주간,서리/결빙,맑음,53.0,2.0,3.0,5.0,63.0,116.32667046957698,4.657407407407407,4.476795931341386,4.875,4.460807600950119,81.47001093969891,292.725222460026
26,권선구,권선동,야간,건조,비,53.0,1.0,5.0,4.0,63.0,116.38434939373488,4.657407407407407,4.488599348534202,4.444769140853302,4.798319327731092,81.389095224526,292.74831495631764
27,장안구,정자동,주간,젖음/습기,흐림,54.0,2.0,4.0,3.0,63.0,117.22895122572784,4.458715596330276,4.476795931341386,4.841059602649007,4.421875,81.19844613032068,282.3540974751137
28,권선구,권선동,야간,젖음/습기,맑음,53.0,1.0,4.0,5.0,63.0,116.38434939373488,4.657407407407407,4.488599348534202,4.841059602649007,4.460807600950119,81.44787395954074,292.99946835647336
29,장안구,정자동,주간,기타,맑음,54.0,2.0,2.0,5.0,63.0,117.22895122572784,4.458715596330276,4.476795931341386,4.666666666666667,4.460807600950119,81.06298579528845,281.3616054026015
30,장안구,정자동,야간,건조,눈,54.0,1.0,5.0,2.0,62.0,116.19740557461756,4.458715596330276,4.488599348534202,4.444769140853302,3.5714285714285716,78.96351265714635,274.62594439749273
31,권선구,권선동,주간,건조,눈,53.0,2.0,5.0,2.0,62.0,115.2374458943088,4.657407407407407,4.476795931341386,4.444769140853302,3.5714285714285716,79.15040105103066,285.16288730239904
32,장안구,영화동,야간,건조,맑음,51.0,1.0,5.0,5.0,62.0,113.49056330616494,4.2254901960784315,4.488599348534202,4.444769140853302,4.460807600950119,79.61966628641605,264.51648305755134
33,장안구,정자동,야간,기타,맑음,54.0,1.0,2.0,5.0,62.0,116.19740557461756,4.458715596330276,4.488599348534202,4.666666666666667,4.460807600950119,80.07478921248128,276.896612888453
34,장안구,정자동,주간,기타,비,54.0,2.0,2.0,4.0,62.0,116.13972665045964,4.458715596330276,4.476795931341386,4.666666666666667,4.798319327731092,80.40049752206943,278.25084470877533
35,권선구,권선동,주간,서리/결빙,비,53.0,2.0,3.0,4.0,62.0,115.23744589430878,4.657407407407407,4.476795931341386,4.875,4.798319327731092,80.80752266647988,289.6144617661997
36,장안구,정자동,야간,서리/결빙,비,54.0,1.0,3.0,4.0,62.0,116.19740557461752,4.458715596330276,4.488599348534202,4.875,4.798319327731092,80.62063427259558,279.07751886129347
37,팔달구,우만동,주간,건조,맑음,50.0,2.0,5.0,5.0,62.0,112.53060362585616,4.239130434782608,4.476795931341386,4.444769140853302,4.460807600950119,79.62150310792741,265.43799731083027
38,권선구,권선동,주간,젖음/습기,흐림,53.0,2.0,4.0,3.0,62.0,115.2374458943088,4.657407407407407,4.476795931341386,4.841059602649007,4.421875,80.3971379413978,288.4260478658714
39,장안구,정자동,야간,젖음/습기,흐림,54.0,1.0,4.0,3.0,62.0,116.19740557461756,4.458715596330276,4.488599348534202,4.841059602649007,4.421875,80.2102495475135,277.8891049609651
40,권선구,권선동,야간,건조,흐림,53.0,1.0,5.0,3.0,62.0,115.29512481846668,4.657407407407407,4.488599348534202,4.444769140853302,4.421875,80.01265089679491,286.82066264539327
41,권선구,권선동,주간,기타,맑음,53.0,2.0,2.0,5.0,62.0,115.2374458943088,4.657407407407407,4.476795931341386,4.666666666666667,4.460807600950119,80.26167760636558,287.43355579335923
42,장안구,정자동,주간,건조,기타,54.0,2.0,5.0,1.0,62.0,116.13972665045966,4.458715596330276,4.476795931341386,4.444769140853302,4.833333333333333,80.21361400185829,276.7814131021175
43,권선구,권선동,야간,서리/결빙,맑음,53.0,1.0,3.0,5.0,62.0,115.29512481846668,4.657407407407407,4.488599348534202,4.875,4.460807600950119,80.48181435689173,288.2602299458774
44,장안구,정자동,주간,적설,맑음,54.0,2.0,1.0,5.0,62.0,116.13972665045964,4.458715596330276,4.476795931341386,4.25,4.460807600950119,79.64631912862178,276.27827206926827
45,팔달구,인계동,야간,건조,비,52.0,1.0,5.0,4.0,62.0,114.3928440623158,4.650943396226415,4.488599348534202,4.444769140853302,4.798319327731092,80.38263121334501,287.7547789674987
46,팔달구,인계동,주간,건조,흐림,52.0,2.0,5.0,3.0,62.0,114.33516513815792,4.650943396226415,4.476795931341386,4.444769140853302,4.421875,79.99438346842109,286.29211917072286
47,장안구,영화동,주간,젖음/습기,맑음,51.0,2.0,4.0,5.0,62.0,113.43288438200705,4.2254901960784315,4.476795931341386,4.841059602649007,4.460807600950119,80.00415333101894,266.1218682780294
48,팔달구,인계동,주간,젖음/습기,비,52.0,2.0,4.0,4.0,62.0,114.3351651381579,4.650943396226415,4.476795931341386,4.841059602649007,4.798319327731092,80.7671182579479,289.36016418797675
49,팔달구,인계동,야간,젖음/습기,맑음,52.0,1.0,4.0,5.0,62.0,114.3928440623158,4.650943396226415,4.488599348534202,4.841059602649007,4.460807600950119,80.44140994835975,288.0059323676544
50,권선구,권선동,야간,젖음/습기,비,53.0,1.0,4.0,4.0,62.0,115.29512481846668,4.657407407407407,4.488599348534202,4.841059602649007,4.798319327731092,80.78538568632172,289.88870766264716
51,장안구,정자동,주간,젖음/습기,눈,54.0,2.0,4.0,2.0,62.0,116.13972665045964,4.458715596330276,4.476795931341386,4.841059602649007,3.5714285714285716,79.34799970174925,276.23132961797086
52,팔달구,인계동,주간,서리/결빙,맑음,52.0,2.0,3.0,5.0,62.0,114.3351651381579,4.650943396226415,4.476795931341386,4.875,4.460807600950119,80.46354692851791,287.731686471207
53,장안구,영화동,주간,건조,비,51.0,2.0,5.0,4.0,62.0,113.43288438200705,4.2254901960784315,4.476795931341386,4.444769140853302,4.798319327731092,79.9453745960042,265.87071487787364
54,장안구,정자동,주간,서리/결빙,흐림,54.0,2.0,3.0,3.0,62.0,116.13972665045964,4.458715596330276,4.476795931341386,4.875,4.421875,80.23238652767166,277.61485906451765
55,장안구,정자동,야간,기타,비,54.0,1.0,2.0,4.0,61.0,115.10818099934934,4.458715596330276,4.488599348534202,4.666666666666667,4.798319327731092,79.41230093926225,273.7858521946268
56,팔달구,인계동,주간,젖음/습기,흐림,52.0,2.0,4.0,3.0,61.0,113.24594056288971,4.650943396226415,4.476795931341386,4.841059602649007,4.421875,79.3906739302168,283.4325118770524
57,팔달구,인계동,주간,기타,맑음,52.0,2.0,2.0,5.0,61.0,113.24594056288971,4.650943396226415,4.476795931341386,4.666666666666667,4.460807600950119,79.25521359518459,282.44001980454027
58,권선구,권선동,야간,건조,눈,53.0,1.0,5.0,2.0,61.0,114.20590024319849,4.657407407407407,4.488599348534202,4.444769140853302,3.5714285714285716,78.16220446822348,280.69789478825044
59,팔달구,우만동,주간,건조,비,50.0,2.0,5.0,4.0,61.0,111.44137905058795,4.239130434782608,4.476795931341386,4.444769140853302,4.798319327731092,78.95901483470838,262.3272366170041
